,dummies,value,type
314,22,69.2624977369102,gaussian
315,22,71.59390832189973,triangular
316,23,191.50804431253627,uniform
317,23,209.5412486989941,poisson
318,23,145.80389637902232,gaussian
319,23,392.8391763562354,triangular
320,24,390.22377062476306,uniform
321,24,141.36830665199795,poisson
322,24,48.26611298401042,gaussian
323,24,301.2534696883065,triangular
324,25,83.63848073808788,uniform
325,25,146.92031274333746,poisson
326,25,256.58487024223604,gaussian
327,25,218.53283968327924,triangular
328,26,270.080969306091,uniform
329,26,166.66544278801115,poisson
330,26,28.4210049798497,gaussian
331,26,113.12364172578589,triangular
332,27,73.91430543881481,uniform
333,27,110.82998278250379,poisson
334,27,19.880615125044724,gaussian
335,27,167.35556440087564,triangular
336,28,92.56352573372897,uniform
337,28,172.71992344812625,poisson
338,28,163.91927596840677,gaussian
339,28,165.25348498541388,triangular
340,29,406.4124019830289,uniform
341,29,110.38753721139146,poisson
342,29,144.666475445494,gaussian
343,29,168.9981241962103,triangular
344,30,304.69160761735975,uniform
345,30,37.13929499175186,poisson
346,30,158.29899053400896,gaussian
347,30,349.0445416889797,triangular
348,2,415.07517904592714,uniform
349,2,1099.3772253580607,poisson
350,2,384.3601652700218,gaussian
351,2,390.3811022773733,triangular
352,3,464.1332565252484,uniform
353,3,550.4255952941248,poisson
354,3,149.70065561419733,gaussian
355,3,815.7774104167443,triangular
356,4,201.03098573160142,uniform
357,4,252.41615662106724,poisson
358,4,188.8576842624009,gaussian
359,4,934.5895540876328,triangular
360,5,123.70542877083913,uniform
361,5,387.17943688685716,poisson
362,5,213.1261500185549,gaussian
363,5,695.5454807902028,triangular
364,6,497.61057868625403,uniform
365,6,686.1520592443758,poisson
366,6,371.234459681822,gaussian
367,6,458.6909942832309,triangular
368,7,538.2658614342428,uniform
369,7,152.26177374667955,poisson
370,7,301.32225183126116,gaussian
371,7,263.1720850910138,triangular
372,8,291.0599348932382,uniform
373,8,433.88157917725766,poisson
374,8,356.12801845282263,gaussian
375,8,342.2421632077306,triangular
376,9,470.9776929928761,uniform
377,9,393.8953823202491,poisson
378,9,286.881323894511,gaussian
379,9,391.04461371478266,triangular
380,10,134.33163293327246,uniform
381,10,250.73048977220895,poisson
382,10,62.734796348424005,gaussian
383,10,258.6868415455624,triangular
384,11,300.81452478825383,uniform
385,11,305.63518524544094,poisson
386,11,124.18289738153314,gaussian
387,11,297.98494348847044,triangular
388,12,273.53679608409567,uniform
389,12,337.95229055086133,poisson
390,12,79.59686221612877,gaussian
391,12,223.20643772216422,triangular
392,13,400.38135859509305,uniform
393,13,141.45871986628373,poisson
394,13,178.34482539614658,gaussian
395,13,399.55565350273633,triangular
396,14,306.3542440590558,uniform
397,14,238.19999536413962,poisson
398,14,163.91880964589123,gaussian
399,14,631.8308051279822,triangular
400,15,86.36193693209219,uniform
401,15,92.11738176946142,poisson
402,15,162.10764473995295,gaussian
403,15,187.4356754936336,triangular
404,16,342.27643736098406,uniform
405,16,56.953891006646806,poisson
406,16,85.87554087666255,gaussian
407,16,89.4803869160663,triangular
